tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_unique_id
3554,ac4effa0-857c-415a-90ac-1004351ff8d5,3554,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"X-ray astronomy",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/1181814|||fast,1bb67d3e-240a-4bdf-bce7-582d0605d636
3555,9d66fbf9-eec4-4024-b47e-974ebae5e5c1,3555,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,X-rays,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/1181857|||fast,76471dea-4d5e-4fd9-b632-2c4bbb4e8213
3556,6aae883a-99de-43ce-9880-a933c355be32,3556,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"X-rays--Physiological effect",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/1181880|||fast,6d661c82-71ed-455b-9657-8fab8d0702e2
3557,fcf1e196-fd54-4fa0-b82d-932653e59ba5,3557,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,Yachting,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/1182188|||fast,2c20ab14-29c7-4fcd-811b-a46e31f5f0e7
3558,32df6b5f-bc30-441b-bc15-183ffac86c72,3558,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,Yachts,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/1182202|||fast,bf4500f5-6d74-43ad-8d3d-11c343bf957a
3559,5933fe11-a779-483e-b0d8-ac7141e33270,3559,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,Yaws,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/1182554|||fast,68d0d92e-658e-4164-808f-9b83bb87675a
3592,4e200906-8113-480d-b9ec-256013af7281,3592,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Advanced placement programs (Education)",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/797420|||fast,6f088c6b-44e7-4370-a0a0-c182c5dc50f5
3593,427d46f5-9ea8-4688-9d7e-96c6b4a72c0e,3593,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Arabic language--Study and teaching",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/812429|||fast,0c46ed21-97be-45ab-bbdd-19132786b73a
3594,8d415f10-84d7-415e-ab51-1b62f39c3f11,3594,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Art therapy",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/815831|||fast,cfbf07a2-05aa-43c3-9c86-5fc00467d088
3595,12d050d9-e36a-4266-bfb7-f78758c2ceb3,3595,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Asian Americans",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/818620|||fast,0f54e4b2-f418-4d9b-8053-723961b8ca01
3596,95c314ff-39a3-4c5a-b5a7-6682dec73024,3596,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Automobile mechanics",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/823079|||fast,59a8b683-c69d-420d-b2a2-c41a005dd6cd
3597,735dbaef-053b-4612-b6fa-8fa3f31e62f7,3597,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Bass clarinet",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/828406|||fast,09192f2e-ad97-4257-a63c-06d7e0840cff
3598,fe8c8bec-0eab-400b-b9a3-142a5476f302,3598,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Campus police",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/845013|||fast,a0bb61c3-11b5-48f7-a58b-99fa0506b0c5
3599,c7bae864-6013-4bae-9ec9-d85e5fbbfa56,3599,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",,,1,"Caregivers--Family relationships",,0,,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",1,1,en,und,,534|user|dfa33910-e475-482d-9fb2-7c268bc2ee7b|/user/534,"2022-03-11T14:35:01+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/847338|||fast,c4021046-7a9c-412c-80c7-3fbeec8af877
