tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_unique_id
3560,92f14efc-f29d-494f-b471-3554c5c5c009,3560,en,copyright_and_use|taxonomy_vocabulary|87cfba26-a75b-41d4-82d1-d336387a8391,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",,,1,"No Copyright – United States",,0,,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",http://rightsstatements.org/vocab/NoC-US/1.0/|||rightsstatements,89d68a2a-5e61-410f-bd3d-c2118d7c35c0
3561,6c2681df-4f70-4583-adc6-c6f3a57645fb,3561,en,copyright_and_use|taxonomy_vocabulary|87cfba26-a75b-41d4-82d1-d336387a8391,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",,,1,"Copyright Undetermined",,0,,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",http://rightsstatements.org/vocab/CNE/1.0/|||rightsstatements,a4e8e81c-dfa3-4e7d-b1ee-677e50943e52
3562,7838b9cb-8fe9-463f-8ed2-fedae7efa559,3562,en,copyright_and_use|taxonomy_vocabulary|87cfba26-a75b-41d4-82d1-d336387a8391,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",,,1,"No Known Copyright",,0,,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",http://rightsstatements.org/vocab/NKC/1.0/|||rightsstatements,a6f50628-01d9-4537-a7dd-82e6129efbe4
3563,ff6e3347-6dbb-4555-94e4-a0fa72143e27,3563,en,copyright_and_use|taxonomy_vocabulary|87cfba26-a75b-41d4-82d1-d336387a8391,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",,,1,"In Copyright",,0,,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:39:28+00:00|Y-m-d\TH:i:sP",http://rightsstatements.org/vocab/InC/1.0/|||rightsstatements,783e5183-c086-48d1-b604-f9e47f998e18
