tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_unique_id
654,b07efb8d-1b48-454b-b0ec-8424570a20a5,654,en,genre|taxonomy_vocabulary|b38f9ba6-c3cd-42e0-9b47-b5f9abfecba3,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",,,1,"plats (maps)",,0,,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",http://vocab.getty.edu/page/aat/300028125|||aat,7bd0f21a-1e11-4ff4-8aff-6207385c3c22
655,7b036e27-412d-4493-8e83-fbf9c7a03560,655,en,genre|taxonomy_vocabulary|b38f9ba6-c3cd-42e0-9b47-b5f9abfecba3,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",,,1,portraits,,0,,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",http://vocab.getty.edu/page/aat/300015637|||aat,3a922684-c0d5-4015-b52e-06ae13765534
656,9bbc55d1-d6a7-48ff-b4a9-7248e51d8b9c,656,en,genre|taxonomy_vocabulary|b38f9ba6-c3cd-42e0-9b47-b5f9abfecba3,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",,,1,"publications (documents)",,0,,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",http://vocab.getty.edu/page/aat/300111999|||aat,728fd57e-e5b1-4e69-865c-33d53b64f1ca
657,d9266c2b-1efd-412c-9dea-4f6b84a3dab6,657,en,genre|taxonomy_vocabulary|b38f9ba6-c3cd-42e0-9b47-b5f9abfecba3,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",,,1,"reproductions (derivative objects)",,0,,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",http://vocab.getty.edu/page/aat/300015643|||aat,2d05f22a-1e72-4d01-aa15-30a593d9b8fe
658,2dca1ad2-588b-456d-ba92-cf71a2b4ab96,658,en,genre|taxonomy_vocabulary|b38f9ba6-c3cd-42e0-9b47-b5f9abfecba3,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",,,1,"slides (photographs)",,0,,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",http://vocab.getty.edu/page/aat/300128371|||aat,8cbea4ab-49e1-4a34-a493-01cf40e6ae0a
659,ebde3e31-f664-455e-8749-f74f5477d7c5,659,en,genre|taxonomy_vocabulary|b38f9ba6-c3cd-42e0-9b47-b5f9abfecba3,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",,,1,"works of art",,0,,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:34:19+00:00|Y-m-d\TH:i:sP",http://vocab.getty.edu/page/aat/300133025|||aat,61171f7c-e971-4eb7-801b-efb1e1093fa9
