tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_relationships,field_unique_id
2264,03d628ad-6bd0-4756-ba4e-205380cd0912,2264,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Yeager, Chuck, 1923-2020",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/84481591|||viaf|http://id.loc.gov/authorities/names/n84181234|||lcnaf,1923/2020,,,,,Chuck,,Yeager,,9bdb1ff1-f13a-426f-9868-f4687e3ebc7b
2265,56b329ca-5d0d-49ed-a145-c84b1c1d4d79,2265,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Yeich, Clifford R.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"Clifford R.",,Yeich,,0c88cd81-08bf-468f-ad08-d8c537a4c9fd
2266,5354db9c-ca01-424f-9ce2-07ddb3d6c383,2266,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Yellott, John I.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/53096794|||viaf|http://id.loc.gov/authorities/names/n84166913|||lcnaf,,,,,,"John I.",,Yellott,,5ec4b8dd-b777-4a94-ba1b-da31cda790b9
2267,34d6aac3-e940-404a-ad31-2b6fb7c9ab41,2267,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Yeung, Carter",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,Carter,,Yeung,,342f081c-3b81-4a70-b643-583cb70e59c7
2268,15848b01-4ee2-46aa-9e18-f7220fa1b06b,2268,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Young-Hunter, John, 1874-1955",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://id.loc.gov/authorities/names/nr93033744|||lcnaf|http://viaf.org/viaf/71265967|||viaf,1874/1955,,,,,John,,Young-Hunter,,c6f97b1d-aeb7-4a2a-906a-890aa8330d4b
2269,e1d387ac-e952-4a4a-8278-a9918e17d84a,2269,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Young, F. G. (Frank George), 1908-1988",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/55622017|||viaf|http://id.loc.gov/authorities/names/n85830924|||lcnaf,1908/1988,,"Frank George",,,"F. G.",,Young,,019bc257-a844-42b2-963f-c179cc5e2ed8
2270,83acfe22-352a-4fbd-82e6-29674102ea7a,2270,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Young, Hugh H., 1870-1945",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/48181768|||viaf|http://id.loc.gov/authorities/names/n84803179|||lcnaf,1870/1945,,,,,"Hugh H.",,Young,,3ab6d5de-aa72-4281-8834-3ba2ea114dd4
2271,4ab866a4-8f2d-434a-bdf1-3f859ba3af87,2271,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Young, John Howard",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/10083960|||viaf|http://id.loc.gov/authorities/names/nr91023795|||lcnaf,,,,,,"John Howard",,Young,,64d9f345-6cd2-4707-9b0c-1847519961ef
2272,4155c7db-5392-4e74-b1f7-4e01daf0d13d,2272,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Young, Joseph, 1922-",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/106294561|||viaf,1922/,,,,,Joseph,,Young,,85b4f1b2-8c93-43d1-953b-f2b4e9c51b84
2273,ba3d825f-6cec-45d8-ae2c-cee776e83709,2273,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Young, Rodney S. (Rodney Stuart), 1907-1974",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/2696473|||viaf|http://id.loc.gov/authorities/names/n80070362|||lcnaf,1907/1974,,"Rodney Stuart",,,"Rodney S.",,Young,,dabb335d-4417-4bcb-8fd9-b53fe1dd6643
